#,SPRINT,ID,User Story,Acceptance Criteria,STATUS
PENGGUNA (UMUM),,,,,
1,SPRINT 1,US0001,"Sebagai Pengguna, saya ingin dapat masuk ke dalam sistem menggunakan email dan kata sandi, agar saya bisa mengakses fitur sesuai peran saya.","1. Halaman login menampilkan kolom email dan kata sandi. 2. Sistem memvalidasi email dan kata sandi yang dimasukkan. 3. Jika valid, pengguna diarahkan ke dashboard masing-masing (Admin, Guru, Siswa). 4. Jika tidak valid, muncul pesan error yang jelas.",4. Sudah Selesai
2,SPRINT 1,US0002,"Sebagai Pengguna, saya ingin dapat keluar dari sistem dengan aman, untuk melindungi akun saya.","1. Terdapat tombol ""Logout"" atau ""Keluar"" yang mudah diakses setelah login. 2. Setelah diklik, sesi pengguna berakhir. 3. Pengguna diarahkan kembali ke halaman login.",4. Sudah Selesai
3,SPRINT 1,US0003,"Sebagai Pengguna, saya ingin melihat dashboard utama setelah login, agar saya mendapatkan ringkasan informasi yang relevan.","1. Setelah login, pengguna melihat halaman dashboard. 2. Admin: Menampilkan statistik (jumlah guru, siswa, kelas). 3. Guru: Menampilkan daftar kelas yang diajar. 4. Siswa: Menampilkan daftar kelas yang diikuti.",4. Sudah Selesai
4,SPRINT 2,US0004,"Sebagai Pengguna, saya ingin dapat mengubah kata sandi saya, agar keamanan akun saya terjaga.","1. Di halaman profil/pengaturan akun, terdapat menu ""Ubah Kata Sandi"". 2. Pengguna harus memasukkan kata sandi lama, kata sandi baru, dan konfirmasi kata sandi baru. 3. Sistem memvalidasi kata sandi lama sebelum menyimpan yang baru.",4. Sudah Selesai
5,SPRINT 2,US0005,"Sebagai Pengguna, saya ingin bisa mereset kata sandi jika saya lupa, agar saya bisa mendapatkan kembali akses ke akun saya.","1. Di halaman login, terdapat link ""Lupa Kata Sandi?"". 2. Pengguna memasukkan email terdaftar. 3. Sistem mengirimkan link reset ke email tersebut. 4. Pengguna dapat membuat kata sandi baru melalui link tersebut.",4. Sudah Selesai
6,SPRINT 2,US0006,"Sebagai Pengguna, saya ingin melihat Landing Page saat masuk pertama kali ke Website Coding Academy Payakumbuh.",1. Di halaman Landing Page terdapat informasi umum tentang Coding Academy Payakumbuh. 2. Pengguna dapat melihat foto/dokumentasi kegiatan dalam Coding Academy.,4. Sudah Selesai
7,SPRINT 2,US0007,"Sebagai Pengguna, saya ingin menerima notifikasi tentang aktivitas yang relevan.",1. Sistem menampilkan notifikasi di dashboard. 2. Notifikasi dapat ditandai sebagai sudah dibaca. 3. Ada halaman daftar semua notifikasi.,4. Sudah Selesai
ADMIN,,,,,
8,SPRINT 1,US1001,"Sebagai Admin, saya ingin dapat melihat daftar Guru, sehingga saya bisa memantau data pengajar yang ada.","1. Admin dapat mengakses halaman manajemen Guru. 2. Halaman menampilkan daftar Guru beserta data (Nama, Email, Bidang Ajar).",4. Sudah Selesai
9,SPRINT 1,US1002,"Sebagai Admin, saya ingin dapat menambah data Guru baru, sehingga saya bisa mengelola data master pengajar.","1. Terdapat tombol ""Tambah Guru"". 2. Admin mengisi form (Nama, Email, Kata Sandi Awal). 3. Data Guru baru muncul di daftar.",4. Sudah Selesai
10,SPRINT 1,US1003,"Sebagai Admin, saya ingin dapat melihat daftar Siswa, sehingga saya bisa memantau seluruh peserta didik.","1. Admin dapat mengakses halaman manajemen Siswa. 2. Halaman menampilkan daftar Siswa beserta data (Nama, Email, NIS).",4. Sudah Selesai
